title,year,duration,genre,rating,movie_url,user-agent
Forrest Gump ,1994,2h 22min,Drama,8.8,https://web.archive.org/web/20200715142550/https://www.imdb.com/title/tt0109830/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36"
Goodfellas ,1990,2h 26min,Biography,8.7,https://web.archive.org/web/20200714135956/https://www.imdb.com/title/tt0099685/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36"
The Godfather ,1972,2h 55min,Crime,9.2,https://web.archive.org/web/20200714035749/https://www.imdb.com/title/tt0068646/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36"
"Il buono, il brutto, il cattivo ",1966,2h 41min,Western,8.8,https://web.archive.org/web/20200715115111/https://www.imdb.com/title/tt0060196/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36"
The Dark Knight ,2008,2h 32min,Action,9.0,https://web.archive.org/web/20200716170540/https://www.imdb.com/title/tt0468569/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36"
Psycho ,1960,1h 49min,Horror,8.5,https://web.archive.org/web/20200714055053/https://www.imdb.com/title/tt0054215/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36"
Casablanca ,1942,1h 42min,Drama,8.5,https://web.archive.org/web/20200714051627/https://www.imdb.com/title/tt0034583/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36"
Back to the Future ,1985,1h 56min,Adventure,8.5,https://web.archive.org/web/20200714232538/https://www.imdb.com/title/tt0088763/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36"
The Lion King ,1994,1h 28min,Animation,8.5,https://web.archive.org/web/20200716172136/https://www.imdb.com/title/tt0110357/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36"
The Lord of the Rings: The Two Towers ,2002,2h 59min,Adventure,8.7,https://web.archive.org/web/20200715072821/https://www.imdb.com/title/tt0167261/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36"
Nuovo Cinema Paradiso ,1988,2h 35min,Drama,8.5,https://web.archive.org/web/20200714170157/https://www.imdb.com/title/tt0095765/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36"
The Usual Suspects ,1995,1h 46min,Crime,8.5,https://web.archive.org/web/20200714053116/https://www.imdb.com/title/tt0114814/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36"
Gladiator ,2000,2h 35min,Action,8.5,https://web.archive.org/web/20200715145330/http://www.imdb.com/title/tt0172495/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36"
American History X ,1998,1h 59min,Drama,8.5,https://web.archive.org/web/20200714080333/https://www.imdb.com/title/tt0120586/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36"
Die letzten Glühwürmchen ,1988,1h 29min,Animation,8.5,https://web.archive.org/web/20200715053537/https://www.imdb.com/title/tt0095327/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36"
Terminator 2: Judgment Day ,1991,2h 17min,Action,8.5,https://web.archive.org/web/20200712022126/https://www.imdb.com/title/tt0103064/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36"
Once Upon a Time in the West ,1968,2h 45min,Western,8.5,https://web.archive.org/web/20200715151431/https://www.imdb.com/title/tt0064116/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36"
Léon ,1994,1h 50min,Action,8.5,https://web.archive.org/web/20200715072507/https://www.imdb.com/title/tt0110413/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36"
The Intouchables ,2011,1h 52min,Biography,8.5,https://web.archive.org/web/20200714080353/https://www.imdb.com/title/tt1675434/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36"
The Prestige ,2006,2h 10min,Drama,8.5,https://web.archive.org/web/20200716173241/https://www.imdb.com/title/tt0482571/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36"
The Departed ,2006,2h 31min,Crime,8.5,https://web.archive.org/web/20200714052524/https://www.imdb.com/title/tt0407887/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36"
The Pianist ,2002,2h 30min,Biography,8.5,https://web.archive.org/web/20200715094805/https://www.imdb.com/title/tt0253474/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36"
